sample_id	threshold	total_area
030120 P9HuP6 TMA 1-A_Core[1,9,D]_[12448,56239].im3	0.1	1.8448063846699392
030120 P9HuP6 TMA 1-A_Core[1,9,E]_[14544,56176].im3	0.1	1.759777564983261
030120 P9HuP6 TMA 1-A_Core[1,9,F]_[16639,56112].im3	0.1	2.1299925243848037
030120 P9HuP6 TMA 1-A_Core[1,9,G]_[18798,56112].im3	0.1	2.207787461811996
030120 P9HuP6 TMA 1-A_Core[1,9,H]_[20957,55985].im3	0.1	2.0333747711524808
030120 P9HuP6 TMA 1-B_Core[1,1,A]_[5711,35856].im3	0.1	1.3384448188953537
030120 P9HuP6 TMA 1-B_Core[1,1,B]_[7934,35665].im3	0.1	1.495938297798272
030120 P9HuP6 TMA 1-B_Core[1,1,D]_[12124,35348].im3	0.1	2.129580518481335
030120 P9HuP6 TMA 1-B_Core[1,1,E]_[14220,35348].im3	0.1	1.6560939822014427
030120 P9HuP6 TMA 1-B_Core[1,1,F]_[16379,35348].im3	0.1	2.1697062910977256
030120 P9HuP6 TMA 1-B_Core[1,1,G]_[18601,35348].im3	0.1	1.511379792736528
030120 P9HuP6 TMA 1-B_Core[1,1,H]_[20633,35348].im3	0.1	2.1007356772328523
030120 P9HuP6 TMA 1-B_Core[1,2,B]_[7870,37824].im3	0.1	1.4531094642476452
030120 P9HuP6 TMA 1-B_Core[1,2,C]_[9966,37634].im3	0.1	1.8440326151128434
030120 P9HuP6 TMA 1-B_Core[1,2,D]_[12188,37507].im3	0.1	2.072235120574495
030120 P9HuP6 TMA 1-B_Core[1,2,E]_[14347,37443].im3	0.1	1.7707444690588376
030120 P9HuP6 TMA 1-B_Core[1,2,G]_[18538,37443].im3	0.1	1.578595650591343
030120 P9HuP6 TMA 1-B_Core[1,2,H]_[20697,37443].im3	0.1	1.5830878262610695
030120 P9HuP6 TMA 1-B_Core[1,3,C]_[9966,39920].im3	0.1	2.241240240188927
030120 P9HuP6 TMA 1-B_Core[1,3,D]_[12251,39856].im3	0.1	2.2283271600896715
030120 P9HuP6 TMA 1-B_Core[1,3,E]_[14474,39666].im3	0.1	2.143112156381218
030120 P9HuP6 TMA 1-B_Core[1,3,F]_[16569,39602].im3	0.1	1.9522754832604357
030120 P9HuP6 TMA 1-B_Core[1,3,G]_[18728,39602].im3	0.1	1.5775854820764221
030120 P9HuP6 TMA 1-B_Core[1,3,H]_[20824,39539].im3	0.1	1.821844350038795
030120 P9HuP6 TMA 1-B_Core[1,4,A]_[5775,42206].im3	0.1	1.599356333807211
030120 P9HuP6 TMA 1-B_Core[1,4,B]_[7870,42015].im3	0.1	1.8267177148173772
030120 P9HuP6 TMA 1-B_Core[1,4,D]_[12188,42015].im3	0.1	1.8348976083476294
030120 P9HuP6 TMA 1-B_Core[1,4,E]_[14410,41888].im3	0.1	2.1796605986058615
030120 P9HuP6 TMA 1-B_Core[1,4,F]_[16569,41761].im3	0.1	1.5635691719423346
030120 P9HuP6 TMA 1-B_Core[1,4,G]_[18728,41698].im3	0.1	2.138759387116421
030120 P9HuP6 TMA 1-B_Core[1,4,H]_[20887,41698].im3	0.1	1.8793846675024395
030120 P9HuP6 TMA 1-B_Core[1,5,A]_[5775,44301].im3	0.1	1.6793795971165955
030120 P9HuP6 TMA 1-B_Core[1,5,B]_[7997,44238].im3	0.1	2.0265551598805907
030120 P9HuP6 TMA 1-B_Core[1,5,D]_[12251,44047].im3	0.1	1.1125421958660482
030120 P9HuP6 TMA 1-B_Core[1,5,E]_[14410,44047].im3	0.1	1.9703243311217584
030120 P9HuP6 TMA 1-B_Core[1,5,F]_[16633,43920].im3	0.1	2.0518362896109905
030120 P9HuP6 TMA 1-B_Core[1,5,G]_[18855,43857].im3	0.1	1.930584618527076
030120 P9HuP6 TMA 1-B_Core[1,5,H]_[20951,43793].im3	0.1	1.5915632462806044
030120 P9HuP6 TMA 1-B_Core[1,6,A]_[5838,46460].im3	0.1	1.8618112944228609
030120 P9HuP6 TMA 1-B_Core[1,6,B]_[7934,46396].im3	0.1	1.4848719071778136
030120 P9HuP6 TMA 1-B_Core[1,6,C]_[10156,46270].im3	0.1	1.7767249095911313
030120 P9HuP6 TMA 1-B_Core[1,6,D]_[12315,46270].im3	0.1	2.094264856971112
030120 P9HuP6 TMA 1-B_Core[1,6,E]_[14537,46206].im3	0.1	1.2113502628117683
030120 P9HuP6 TMA 1-B_Core[1,6,F]_[16696,46142].im3	0.1	2.1231592249601365
030120 P9HuP6 TMA 1-B_Core[1,6,G]_[18792,46079].im3	0.1	1.7516779918163605
030120 P9HuP6 TMA 1-B_Core[1,6,H]_[20887,46016].im3	0.1	1.947124837192471
030120 P9HuP6 TMA 1-B_Core[1,7,A]_[5838,48555].im3	0.1	1.6167513837895255
030120 P9HuP6 TMA 1-B_Core[1,7,B]_[8061,48492].im3	0.1	2.0737611589634986
030120 P9HuP6 TMA 1-B_Core[1,7,C]_[10156,48492].im3	0.1	1.8065676831824975
030120 P9HuP6 TMA 1-B_Core[1,7,D]_[12315,48428].im3	0.1	2.038222459867724
030120 P9HuP6 TMA 1-B_Core[1,7,E]_[14474,48365].im3	0.1	2.121550000570876
030120 P9HuP6 TMA 1-B_Core[1,7,F]_[16696,48301].im3	0.1	2.062777794818319
030120 P9HuP6 TMA 1-B_Core[1,7,G]_[18855,48238].im3	0.1	1.9244606822785197
030120 P9HuP6 TMA 1-B_Core[1,7,H]_[20951,48111].im3	0.1	1.7679792082763854
030120 P9HuP6 TMA 1-B_Core[1,8,A]_[5838,50714].im3	0.1	1.8339589033079209
030120 P9HuP6 TMA 1-B_Core[1,8,B]_[7997,50714].im3	0.1	2.218044493009838
030120 P9HuP6 TMA 1-B_Core[1,8,C]_[10220,50714].im3	0.1	2.2368481517193897
030120 P9HuP6 TMA 1-B_Core[1,8,D]_[12378,50714].im3	0.1	2.061200795716041
030120 P9HuP6 TMA 1-B_Core[1,8,E]_[14537,50651].im3	0.1	1.722093989875993
